2970 916 50
2971 72 220
2972 22 714 61 80
2973 202 80 31 0
2974 275 22
2975 5 65 919
2976 72 77 300 673 551 9 630 33
2977 9 1 5 0
2978 4 8 11
2979 410 667 28 186 145 320 191 9
2980 708 8 79 90
2981 50 22 22 0
2982 93 1 58
2983 39 94 31
2984 754 24 185
2985 0 31 5 202 1 9
2986 31
2987 117 43 95 46 39 521 65 91 0 72 8 837 409 93 441
2988 43 110 8 809 855 920
2989 121 0 15 8 1
2990 95 50 0
2991 1 0 24 4
2992 273 53
2993 123
2994 49 4 106
2995 5 7 515
2996 589 34 763 42
2997 66 43 79 42 304
2998 117 95 509 22 61 77 72 529 370 308
2999 28 66 428 302 575
3000 470 22 367 39 20 1
3001 651 272 0
3002 11 1
3003 18 34
3004 50
3005 90 9 10
3006 11 49
3007 20 9
3008 335 22 372
3009 8 348 24
3010 11 131
3011 467 72 40 89
3012 53 333 102 61 131 338 136 139 31 418 187 110 22 4 154 37 8 148 90
3013 39 31 249
3014 89 208 215 215
3015 8 31 571 128 9
3016 118 562 228 443 22 849 131 68 551 80 136 148 57 152
3017 551 416 289 9
3018 121 31 30
3019 0 2
3020 6 20
3021 79 191 138 477 150 472 562 248 125 72 501 74 80 11
3022 315 93 22
3023 455 185 22 212 72
3024 92 191 31 136 51 253 202 80 10
3025 69 28 135
3026 30 199 306 19 4
3027 238 90 22
3028 721 795 8 39 99 125 117
3029 182 265 80
3030 7 2 387 60
3031 78 42 57 125 25 370
3032 886 118 123 264 265 120 694 402
3033 924 267 22 310 31
3034 900 22 1
3035 198 117 52
3036 66 659
3037 913 11 25
3038 627 80 66 22 265 4 78
3039 519 22 15 58
3040 11 12
3041 457 31
3042 397 289 80
3043 11 238 20
3044 89 31 65
3045 1 2 31 20 0
3046 546 4
3047 1 0
3048 129 345
3049 49 58 519 521
3050 28 406 125
3051 104 4 22
3052 4 15
3053 116 453 79 24 84 590 154
3054 31 365 22
3055 50 134
3056 31 9 20
3057 9 1 30 66
3058 22 0 92
3059 51 11 77 300
3060 191 515 0 621 20
3061 267 123 665 42
3062 146 80 327
3063 662 0 22 25 218
3064 30 289 4 144
3065 524 431 22 65
3066 216 22
3067 93 441 123 120
3068 69 124 25 421
3069 25 925 89 781 4 171 265 244 508
3070 58 0 753
3071 0 15
3072 9
3073 16 218
3074 400 77 25 31
3075 116 914 31
3076 22 324 633 20 515
3077 8 0 1
3078 2 10 663 4
3079 118 22
3080 887 1 8 706 917
3081 96 80 744 289 546 56 571 202 9
3082 9 7 62 4
3083 50 51 9 31
3084 25 56
3085 87 49 22
3086 133 30
3087 4 681 519 1
3088 108 22 121 260 173
3089 248 42
3090 1 24 39 1
3091 128 8 31
3092 8 7 37
3093 104 25
3094 31 225
3095 0 55 8
3096 1 22 0
3097 0 15 342
3098 352 0
3099 11 12 9
3100 7 22 153
3101 775 708 24 476 453 22
3102 34 353 545 2 250 15 90 8 48
3103 885 20 9
3104 45 198 64 308
3105 108 136 51 106 528
3106 744 33 215 212
3107 3 1
3108 58 22 616 4
3109 756 380 288 79 105 723
3110 24 31 20
3111 1 285 7
3112 22 69
3113 31 30
3114 432 342 79 129 182 98 265 25 104 418 224 453 110 68 102 22 22 331
3115 39 48 11 22
3116 281 143 213 302 145 28
3117 669 90 191 78 89
3118 22 5
3119 4 15 2 90
3120 2 661 0 25 104 9
3121 20 55 4
3122 1 22 22
3123 332 1 8 121
3124 388 8 471 122 848 125
3125 866 880
3126 439 22 162
3127 1 163 47
3128 7 22
3129 22 39
3130 765 134 31 604 125
3131 361 290 9 106 824
3132 621 39 136 194 8 370 42 308
3133 16 0
3134 238 10 22 5 9
3135 339 22 155
3136 692 17
3137 305 0
3138 9 8 2
3139 383 131 502 486 264 56
3140 753 2 0
3141 22 22 104 1
3142 39 59 50 310 43 191 353 9 317 114 272
3143 4 58 45 1
3144 2 0
3145 79 426 72 299 191 158 31 814 384 78 787 46 22 928 289
3146 726 37 365 72
3147 1 517 9 1 4
3148 2 104 25 15
3149 18 247
3150 95 2 22 1 22 216 317 50 310
3151 8 0 7
3152 1 12 0 377
3153 48 1
3154 262 456 1
3155 402 666 25
3156 235 0
3157 22 0 175
3158 22 1
3159 0 1
3160 0 7 736 25
3161 20 31 6 117
3162 31 95 77
3163 31 598 79 22 172
3164 4 18
3165 31 138
3166 4 0
3167 11 25
3168 50 22 25
3169 191 22
3170 650 77 326 31 63
3171 866 46 900 339 267 929 930 571 932 136 933 800 934 565 212 265
3172 15 567 72
3173 387 187 11 31 215
3174 106 282 244
3175 647 49 216 218 0 9 436 247
3176 439 104 705
3177 9 0
3178 154 338 131 565 582 312 315 118 80 110 194 57 570 363 79 427 28 90 282 265 51 72 217
3179 281 31 135 676
3180 25 22 0
3181 40 279 31 15 90
3182 388 72 93
3183 326 73 77
3184 337 185 22 202
3185 50 642 20
3186 155 80
3187 9 50 258
3188 30 26 188 140
3189 0 25 15 9
3190 51 150
3191 0 11
3192 327 9 2
3193 267 72 8 80 31 89 361 380 426 170 584 108 117 398 466 125 40 327
3194 1 15
3195 31 56 77 24 25
3196 445 42
3197 161 170
3198 20 5
3199 1 89 521 15 51 515
3200 93 5 891 22 257 414 825 39
3201 0 41 20
3202 121 22 0 31 12 18
3203 31 365 25
3204 0 4 22 476
3205 22 0 2
3206 9 22
3207 769 117 72
3208 0 55 806
3209 398 247 42 225 80
3210 8 326 243 525 93 270
3211 30 31
3212 22 9 55
3213 718 146
3214 31 28
3215 51 191 25 644 201
3216 515 22 244 1
3217 1 10
3218 756 191 711 118 398 213 228 80
3219 616 104 1
3220 58 41 20
3221 0 9
3222 4 25 6
3223 82 2 1 90
3224 204 22
3225 11 16 34 18
3226 56 11 0 12 1
3227 0 163 5 8 447 1
3228 104 41 191 104
3229 163 1 317 0 51 19 20 93
3230 4 233 387
3231 9 1 305
3232 11 4
3233 9 55 2
3234 30 36 57 182 9 51
3235 11 0 1
3236 95 262 22 9 5
3237 0 753
3238 289 406 28 79 31
3239 576 327 175 11
3240 473 95 453 51 30 31 57
3241 117 206 202
3242 25 50
3243 7 1
3244 8 82 31 15 9
3245 0 31 1
3246 49 348
3247 0 1 55
3248 11 1
3249 77 94
3250 79 4 8 22 20 414
3251 776 79 4 374
3252 22 72
3253 272 58 1
3254 1 0
3255 118 22 80 31
3256 181 191 72 215 93 201 167
3257 89 31 25
3258 267 78 761 173 265 488 9
3259 8 22 860
3260 22 0 22 31 2
3261 515 19
3262 120 267 31
3263 444 11
3264 304 163 562 398 8 30 566 568
3265 11 18
3266 49 39 773 1 46
3267 0 9 42
3268 31 521 289 4
3269 0 2 4
3270 27 22
3271 16 30 22 31
3272 4 0 9 247
3273 135 30 358 147 9 51 39
3274 24 31 104
3275 117 80 136 78 31 308
3276 225 9 672 22 65 202
3277 0 216
3278 56 22 0 218
3279 117 22 526 72 50 135
3280 517 9 31
3281 42 146
3282 121 323 4
3283 37 22 348
3284 8 5 15 0 162 324 1
3285 24 626 136 251 72
3286 77 30 22
3287 1 2 1
3288 9 272 0
3289 118 263 195
3290 154 110 8 173
3291 4 292
3292 250 78 669 80 117
3293 253 49 43
3294 31 621 167 134
3295 377 16 317 85 885
3296 593 20 0
3297 95 22
3298 214 31 89 90 821 365 217 117 9
3299 22 2 11 9 12
3300 332 57 49
3301 11 9
3302 939 22 53
3303 414 69
3304 398 25 22
3305 660 324
3306 51 39 79
3307 187 22 214
3308 170 53 22 31
3309 308 72 79 575 388 123 7 77 1 43 191
3310 90 118
3311 630 131 28 9
3312 22 28 130 338
3313 61 106
3314 743 596 25
3315 49 104 10 1
3316 181 79 99 31
3317 9 8 2
3318 31 34 22 18 83
3319 348 31 48 58 78 0
3320 31 185 39 57
3321 1 1 10 80 0 56
3322 79 22 50 202
3323 89 135 22
3324 1 661 2
3325 731 4 8 15 22 82
3326 89 761 125 78
3327 89 25 68
3328 136 56 31 61 775 148 570 191
3329 554 289 24 77 39 118 620 1 61 694 671
3330 248 22 187 89 72 4
3331 662 39 77
3332 669 80
3333 2 9 234 25
3334 11 9 0
3335 639 4 8 18 553 16 90 701 0 43 586
3336 39 41 923 22 468 300
3337 53 0 25
3338 308 653
3339 383 583 7 22 61 217 394 51 31 105 233
3340 8 10 115
3341 118 398 443 131 92 397 422 78
3342 89 25 8
3343 22 50
3344 431 476 1 310 20 324
3345 134 536 89 8 117 77 9
3346 4 226 81 311 232 1
3347 72 22 30
3348 244 77 22
3349 22 7 22 0 216
3350 42 31
3351 4 8 594 576
3352 9 95 194
3353 310 88 89 8 380 22
3354 38 90 408 0 9 60
3355 4 15 22
3356 135 28 128 145 191 411
3357 129 877 22 922 217 490 25 64 24 280 479 51 110 866 22
3358 31 99 42
3359 49 22 573 1 9
3360 9 1 8
3361 30 31 185
3362 791 117 73 482 1 1 187 539 584 433 940 611 107 90
3363 511 77 468 22 22 486 214
3364 216 2
3365 22 1 10 20
3366 645 22 171 57 22 80 331
3367 261 22 22 121 466 576 9 90
3368 95 447 22
3369 66 1 131
3370 123 42 120
3371 941 522 31 74 935 122 930 118 933 544 117 932 866 92
3372 171 57
3373 0 9 11
3374 30 31
3375 645 31 225 370
3376 39 22 1
3377 202 98 425
3378 7 1 13 9 247
3379 79 730
3380 22 253 50 592
3381 9 11 25
3382 1 1 0
3383 72 51 31
3384 308 120
3385 8 74 22
3386 11 25 20 57
3387 95 279 15
3388 73 9 272 0
3389 57 2 407
3390 25 1 11 20
3391 92 22 31
3392 171 201 143
3393 79 253 90
3394 2 661 22 1
3395 80 397 882 797 201 398
3396 752 348 42 513 121 71 384 80 51 202 39
3397 813 880 943
3398 671 8 255 99 337
3399 9 4 47 386
3400 272 82 39 781 24 221 430
3401 118 24 79 858 8
3402 265 366 80
3403 631 723
3404 262 22 290 348
3405 1 4 22
3406 5 20 25 11
3407 207 51 824 585 31 96
3408 149 28 168 141
3409 176 0
3410 131 22 479
3411 505 27 72
3412 171 505 131
3413 238 847 1 5
3414 20 25
3415 118 22 80 398 89
3416 782 57 31 89 202
3417 8 20 31
3418 342 8 73 724 79 265 850 118 443 251 571
3419 8 272 9
3420 58 55 79 4 272
3421 213 375 151
3422 4 8 1 218 0
3423 312 2 10 9 90 5
3424 191 22
3425 56 335 31 1 22 20
3426 28 37 22 80 772 224
3427 4 188 31 92 240 6 239
3428 28 134 61 359 214 72 92
3429 79 226 233 55 20 1
3430 22 89 66
3431 49 11 22 114
3432 681 66 31
3433 24 448 31
3434 4 20 117
